Patient,ID,Tumor_Sample_Barcode,fastq_1,fastq_2
2,P2A,s_CSCC_4_DNA,4_Lane4_CSCC_4_DNA_IAGCAGGAA_R1.fastq.gz,4_Lane4_CSCC_4_DNA_IAGCAGGAA_R3.fastq.gz
2,P2B,s_CSCC_6_DNA,0_Lane4_CSCC_6_DNA_ITGGCTTCA_R1.fastq.gz,0_Lane4_CSCC_6_DNA_ITGGCTTCA_R3.fastq.gz
4,P3,s_CSCC_8_DNA,2_Lane4_CSCC_8_DNA_ICATCAAGT_R1.fastq.gz,2_Lane4_CSCC_8_DNA_ICATCAAGT_R3.fastq.gz
5,P4,s_CSCC_10T_DNA,1_Lane4_CSCC_10T_DNA_IAGTGGTCA_R1.fastq.gz,1_Lane4_CSCC_10T_DNA_IAGTGGTCA_R3.fastq.gz
6,P5,s_CSCC_12_DNA,3_Lane5_CSCC_12_DNA_IATCCTGTA_R1.fastq.gz,3_Lane5_CSCC_12_DNA_IATCCTGTA_R3.fastq.gz
7,P6,s_CSCC_14_DNA,1_Lane5_CSCC_14_DNA_IGACTAGTA_R1.fastq.gz,1_Lane5_CSCC_14_DNA_IGACTAGTA_R3.fastq.gz
8,P7,s_CSCC_16_DNA,4_Lane5_CSCC_16_DNA_IGCTCGGTA_R1.fastq.gz,4_Lane5_CSCC_16_DNA_IGCTCGGTA_R3.fastq.gz
9,P8,s_CSCC_18_DNA,3_Lane6_CSCC_18_DNA_IAACAACCA_R1.fastq.gz,3_Lane6_CSCC_18_DNA_IAACAACCA_R3.fastq.gz
13,P9,s_CSCC_29_DNA,4_Lane1_CSCC_29_DNA_ICCATCCTC_R1.fastq.gz,4_Lane1_CSCC_29_DNA_ICCATCCTC_R3.fastq.gz
16,P11,s_CSCC_39T_DNA,2_Lane6_CSCC_39T_DNA_IAGTCACTA_R1.fastq.gz,2_Lane6_CSCC_39T_DNA_IAGTCACTA_R3.fastq.gz
19,P13,s_CSCC_48_DNA,0_Lane8_CSCC_48_DNA_IACATTGGC_R1.fastq.gz,0_Lane8_CSCC_48_DNA_IACATTGGC_R3.fastq.gz
20,P14,s_CSCC_52_DNA,1_Lane2_CSCC_52_DNA_ICATACCAA_R1.fastq.gz,1_Lane2_CSCC_52_DNA_ICATACCAA_R3.fastq.gz
P1_B3,P16,s_CSCC-302_-_T2a_B4_DNA,6_Lane1_CSCC-302_-_T2a_B4_DNA_IAGACGCCA_R1.fastq.gz,6_Lane1_CSCC-302_-_T2a_B4_DNA_IAGACGCCA_R3.fastq.gz
P10_B2,P17,s_097-T2a_B2_DNA,3_Lane4_097-T2a_B2_DNA_IATTCACAG_R1.fastq.gz,3_Lane4_097-T2a_B2_DNA_IATTCACAG_R3.fastq.gz
P10_B3,P18,s_CSCC_310-T2a_B4_DNA,2_Lane3_CSCC_310-T2a_B4_DNA_ICGTGATAA_R1.fastq.gz,2_Lane3_CSCC_310-T2a_B4_DNA_ICGTGATAA_R3.fastq.gz
P11_B2,P19,s_101-T2a_B2_DNA,1_Lane3_101-T2a_B2_DNA_ITCGACACT_R1.fastq.gz,1_Lane3_101-T2a_B2_DNA_ITCGACACT_R3.fastq.gz
P11_B3,P20,s_CSCC_322-T2b_B4_DNA,6_Lane3_CSCC_322-T2b_B4_DNA_IGCTCATTG_R1.fastq.gz,6_Lane3_CSCC_322-T2b_B4_DNA_IGCTCATTG_R3.fastq.gz
P12_B3,P22,s_CSCC_320-T2a_B4_DNA,5_Lane4_CSCC_320-T2a_B4_DNA_ITTCCATCA_R1.fastq.gz,5_Lane4_CSCC_320-T2a_B4_DNA_ITTCCATCA_R3.fastq.gz
P13_B2,P23,s_109-T2a_B2_DNA,0_Lane2_109-T2a_B2_DNA_IGACGACTG_R1.fastq.gz,0_Lane2_109-T2a_B2_DNA_IGACGACTG_R3.fastq.gz
P13_B3,P24,s_CSCC_306-T2a_B4_DNA,0_Lane4_CSCC_306-T2a_B4_DNA_ICGGAAAGA_R1.fastq.gz,0_Lane4_CSCC_306-T2a_B4_DNA_ICGGAAAGA_R3.fastq.gz
P14_B2,P25,s_151-T2a_B2_DNA,3_Lane3_151-T2a_B2_DNA_ICTGACCTC_R1.fastq.gz,3_Lane3_151-T2a_B2_DNA_ICTGACCTC_R3.fastq.gz
P14_B3,P26,s_CSCC_304-T2b_B4_DNA,4_Lane4_CSCC_304-T2b_B4_DNA_ICATCTTCA_R1.fastq.gz,4_Lane4_CSCC_304-T2b_B4_DNA_ICATCTTCA_R3.fastq.gz
P15_B2,P27,s_153-T2a_B2_DNA,3_Lane3_153-T2a_B2_DNA_IGCTCATTG_R1.fastq.gz,3_Lane3_153-T2a_B2_DNA_IGCTCATTG_R3.fastq.gz
P16_B2,P28,s_155-T2a_B2_DNA,5_Lane3_155-T2a_B2_DNA_ICATGGCTT_R1.fastq.gz,5_Lane3_155-T2a_B2_DNA_ICATGGCTT_R3.fastq.gz
P18_B2,P30,s_159-T2a_B2_DNA,5_Lane4_159-T2a_B2_DNA_ITCAAGTCA_R1.fastq.gz,5_Lane4_159-T2a_B2_DNA_ITCAAGTCA_R3.fastq.gz
P2_B3,P33,s_CSCC-363-T2a_B4_DNA,0_Lane1_CSCC-363-T2a_B4_DNA_ICACGCATT_R1.fastq.gz,0_Lane1_CSCC-363-T2a_B4_DNA_ICACGCATT_R3.fastq.gz
P20_B2,P34,s_163-T2a_B2_DNA,4_Lane1_163-T2a_B2_DNA_ITGTTGCAA_R1.fastq.gz,4_Lane1_163-T2a_B2_DNA_ITGTTGCAA_R3.fastq.gz
P21_B2,P35,s_165-T2a_B2_DNA,2_Lane4_165-T2a_B2_DNA_ITAGCGAGT_R1.fastq.gz,2_Lane4_165-T2a_B2_DNA_ITAGCGAGT_R3.fastq.gz
P22_B2,P36,s_167-T2a_B2_DNA,1_Lane5_167-T2a_B2_DNA_ITACCGAAG_R1.fastq.gz,1_Lane5_167-T2a_B2_DNA_ITACCGAAG_R3.fastq.gz
P23_B2,P37,s_169-T2a_B2_DNA,0_Lane5_169-T2a_B2_DNA_IATAACGTG_R1.fastq.gz,0_Lane5_169-T2a_B2_DNA_IATAACGTG_R3.fastq.gz
P24_B2,P38,s_171-T2a_B2_DNA,4_Lane5_171-T2a_B2_DNA_IGAAGTACC_R1.fastq.gz,4_Lane5_171-T2a_B2_DNA_IGAAGTACC_R3.fastq.gz
P25_B2,P39B,s_201-T2b_B2_DNA,4_Lane6_201-T2b_B2_DNA_ITCTAGTGT_R1.fastq.gz,4_Lane6_201-T2b_B2_DNA_ITCTAGTGT_R3.fastq.gz
P25_B2,P39A,s_200-T2b_B2_DNA,5_Lane6_200-T2b_B2_DNA_ICTGTCAGT_R1.fastq.gz,5_Lane6_200-T2b_B2_DNA_ICTGTCAGT_R3.fastq.gz
P26_B2,P40,s_203-T2b_B2_DNA,5_Lane2_203-T2b_B2_DNA_IACACAAGG_R1.fastq.gz,5_Lane2_203-T2b_B2_DNA_IACACAAGG_R3.fastq.gz
P27_B2,P41,s_205-T2b_B2_DNA,1_Lane6_205-T2b_B2_DNA_IAGTACCGA_R1.fastq.gz,1_Lane6_205-T2b_B2_DNA_IAGTACCGA_R3.fastq.gz
P31_B2,P47,s_73-T2a_B2_DNA,1_Lane7_73-T2a_B2_DNA_IAGACGCCA_R1.fastq.gz,1_Lane7_73-T2a_B2_DNA_IAGACGCCA_R3.fastq.gz
P4_B2,P48,s_072-T2b_B2_DNA,5_Lane2_072-T2b_B2_DNA_ICAGGAAAG_R1.fastq.gz,5_Lane2_072-T2b_B2_DNA_ICAGGAAAG_R3.fastq.gz
P4_B3,P49,s_CSCC-373-T2b_B4_DNA,1_Lane1_CSCC-373-T2b_B4_DNA_ITACAAAGG_R1.fastq.gz,1_Lane1_CSCC-373-T2b_B4_DNA_ITACAAAGG_R3.fastq.gz
P7_B2,P54,s_085-T2a_B2_DNA,1_Lane1_085-T2a_B2_DNA_ITACAAAGG_R1.fastq.gz,1_Lane1_085-T2a_B2_DNA_ITACAAAGG_R3.fastq.gz
P7_B3,P55,s_CSCC-359-T2a_B4_DNA,0_Lane2_CSCC-359-T2a_B4_DNA_ITGATAACG_R1.fastq.gz,0_Lane2_CSCC-359-T2a_B4_DNA_ITGATAACG_R3.fastq.gz
P8_B3,P57,s_CSCC-349-T3_B4_DNA,4_Lane3_CSCC-349-T3_B4_DNA_IACACAAGG_R1.fastq.gz,4_Lane3_CSCC-349-T3_B4_DNA_IACACAAGG_R3.fastq.gz
P9_B2,P58,s_093-T2a_B2_DNA,4_Lane2_093-T2a_B2_DNA_ITGATAACG_R1.fastq.gz,4_Lane2_093-T2a_B2_DNA_ITGATAACG_R3.fastq.gz
P9_B3,P59,s_CSCC_316-T2b_B4_DNA,3_Lane3_CSCC_316-T2b_B4_DNA_ITCGAACGC_R1.fastq.gz,3_Lane3_CSCC_316-T2b_B4_DNA_ITCGAACGC_R3.fastq.gz
1,P1,s_CSCC_1_DNA,1_Lane1_CSCC_1_DNA_IAAACATCG_R1.fastq.gz,1_Lane1_CSCC_1_DNA_IAAACATCG_R3.fastq.gz
15,P10,s_CSCC_35_DNA,3_Lane2_CSCC_35_DNA_ICTGAGCCA_R1.fastq.gz,3_Lane2_CSCC_35_DNA_ICTGAGCCA_R3.fastq.gz
17,P12,s_CSCC_41_DNA,0_Lane7_CSCC_41_DNA_IGGAGAACA_R1.fastq.gz,0_Lane7_CSCC_41_DNA_IGGAGAACA_R3.fastq.gz
P1_B2,P15,s_061-T2b_B2_DNA,2_Lane2_061-T2b_B2_DNA_IGACCACAC_R1.fastq.gz,2_Lane2_061-T2b_B2_DNA_IGACCACAC_R3.fastq.gz
P12_B2,P21,s_105-T2a_B2_DNA,4_Lane3_105-T2a_B2_DNA_IGCCTAAAT_R1.fastq.gz,4_Lane3_105-T2a_B2_DNA_IGCCTAAAT_R3.fastq.gz
P17_B2,P29,s_157-T2a_2_B2_DNA,3_Lane4_157-T2a_2_B2_DNA_ITAGTGTTC_R1.fastq.gz,3_Lane4_157-T2a_2_B2_DNA_ITAGTGTTC_R3.fastq.gz
P19_B2,P31,s_161-T2a_B2_DNA,3_Lane7_161-T2a_B2_DNA_ICACGCATT_R1.fastq.gz,3_Lane7_161-T2a_B2_DNA_ICACGCATT_R3.fastq.gz
P2_B2,P32,s_064-T2b_B2_DNA,0_Lane4_164-T2a_B2_DNA_ITTCCATCA_R1.fastq.gz,0_Lane4_164-T2a_B2_DNA_ITTCCATCA_R3.fastq.gz
P28_B2,P42,s_61-T2a_B2_DNA,4_Lane7_61-T2a_B2_DNA_IAGCGACAT_R1.fastq.gz,4_Lane7_61-T2a_B2_DNA_IAGCGACAT_R3.fastq.gz
